Time	RFU(A01)	RFU(A02)	RFU(A03)	RFU(A04)	RFU(A05)	RFU(A06)	RFU(A07)	RFU(A08)	RFU(A09)	RFU(A10)	RFU(A11)	RFU(A12)	C	PlateId	RunProfileEntryIndex	RunNumber	Row
240.90							0.491900							2021-01-07_9776	1	1	A
241.02							0.471700							2021-01-07_9776	1	1	A
241.14							0.458100							2021-01-07_9776	1	1	A
241.25							0.446100							2021-01-07_9776	1	1	A
241.37							0.432300							2021-01-07_9776	1	1	A
241.49							0.416500							2021-01-07_9776	1	1	A
241.61							0.402900							2021-01-07_9776	1	1	A
241.72							0.394100							2021-01-07_9776	1	1	A
241.84							0.387800							2021-01-07_9776	1	1	A
241.96							0.379900							2021-01-07_9776	1	1	A
242.07							0.371000							2021-01-07_9776	1	1	A
242.19							0.362800							2021-01-07_9776	1	1	A
242.31							0.356100							2021-01-07_9776	1	1	A
242.42							0.351600							2021-01-07_9776	1	1	A
242.54							0.349600							2021-01-07_9776	1	1	A
242.66							0.348000							2021-01-07_9776	1	1	A
242.78							0.344500							2021-01-07_9776	1	1	A
242.89							0.341300							2021-01-07_9776	1	1	A
243.01							0.339600							2021-01-07_9776	1	1	A
243.13							0.340200							2021-01-07_9776	1	1	A
243.24							0.343200							2021-01-07_9776	1	1	A
243.36							0.348100							2021-01-07_9776	1	1	A
243.48							0.352600							2021-01-07_9776	1	1	A
243.59							0.354000							2021-01-07_9776	1	1	A
243.71							0.350800							2021-01-07_9776	1	1	A
243.83							0.344200							2021-01-07_9776	1	1	A
243.95							0.337000							2021-01-07_9776	1	1	A
244.06							0.331300							2021-01-07_9776	1	1	A
244.18							0.325400							2021-01-07_9776	1	1	A
244.30							0.317800							2021-01-07_9776	1	1	A
244.41							0.310200							2021-01-07_9776	1	1	A
244.53							0.304000							2021-01-07_9776	1	1	A
244.65							0.299700							2021-01-07_9776	1	1	A
244.76							0.295800							2021-01-07_9776	1	1	A
244.88							0.291300							2021-01-07_9776	1	1	A
245.00							0.288600							2021-01-07_9776	1	1	A
245.12							0.289800							2021-01-07_9776	1	1	A
245.23							0.294200							2021-01-07_9776	1	1	A
245.35							0.296400							2021-01-07_9776	1	1	A
245.47							0.294500							2021-01-07_9776	1	1	A
245.58							0.289900							2021-01-07_9776	1	1	A
245.70							0.281500							2021-01-07_9776	1	1	A
245.82							0.271800							2021-01-07_9776	1	1	A
245.93							0.264600							2021-01-07_9776	1	1	A
246.05							0.260400							2021-01-07_9776	1	1	A
246.17							0.259000							2021-01-07_9776	1	1	A
246.29							0.261100							2021-01-07_9776	1	1	A
246.40							0.268500							2021-01-07_9776	1	1	A
246.52							0.278900							2021-01-07_9776	1	1	A
246.64							0.287600							2021-01-07_9776	1	1	A
246.75							0.292800							2021-01-07_9776	1	1	A
246.87							0.295300							2021-01-07_9776	1	1	A
246.99							0.296200							2021-01-07_9776	1	1	A
247.10							0.296500							2021-01-07_9776	1	1	A
247.22							0.299500							2021-01-07_9776	1	1	A
247.34							0.305100							2021-01-07_9776	1	1	A
247.46							0.314000							2021-01-07_9776	1	1	A
247.57							0.337800							2021-01-07_9776	1	1	A
247.69							0.440500							2021-01-07_9776	1	1	A
247.81							0.744500							2021-01-07_9776	1	1	A
247.92							1.331700							2021-01-07_9776	1	1	A
248.04							2.128900							2021-01-07_9776	1	1	A
248.16							2.926400							2021-01-07_9776	1	1	A
248.27							3.503300							2021-01-07_9776	1	1	A
248.39							3.741500							2021-01-07_9776	1	1	A
248.51							3.648100							2021-01-07_9776	1	1	A
248.63							3.304900							2021-01-07_9776	1	1	A
248.74							2.819800							2021-01-07_9776	1	1	A
248.86							2.294200							2021-01-07_9776	1	1	A
248.98							1.804400							2021-01-07_9776	1	1	A
249.09							1.391300							2021-01-07_9776	1	1	A
249.21							1.065400							2021-01-07_9776	1	1	A
249.33							0.820900							2021-01-07_9776	1	1	A
249.44							0.649200							2021-01-07_9776	1	1	A
249.56							0.537900							2021-01-07_9776	1	1	A
249.68							0.468000							2021-01-07_9776	1	1	A
249.80							0.420900							2021-01-07_9776	1	1	A
249.91							0.384700							2021-01-07_9776	1	1	A
250.03							0.356200							2021-01-07_9776	1	1	A
250.15							0.334600							2021-01-07_9776	1	1	A
250.26							0.318200							2021-01-07_9776	1	1	A
250.38							0.307500							2021-01-07_9776	1	1	A
250.50							0.304600							2021-01-07_9776	1	1	A
250.61							0.308100							2021-01-07_9776	1	1	A
250.73							0.315100							2021-01-07_9776	1	1	A
250.85							0.322400							2021-01-07_9776	1	1	A
250.97							0.328000							2021-01-07_9776	1	1	A
251.08							0.331200							2021-01-07_9776	1	1	A
251.20							0.330800							2021-01-07_9776	1	1	A
251.32							0.328600							2021-01-07_9776	1	1	A
251.43							0.328800							2021-01-07_9776	1	1	A
251.55							0.332800							2021-01-07_9776	1	1	A
251.67							0.337900							2021-01-07_9776	1	1	A
251.78							0.341100							2021-01-07_9776	1	1	A
251.90							0.339200							2021-01-07_9776	1	1	A
252.02							0.329200							2021-01-07_9776	1	1	A
252.14							0.312500							2021-01-07_9776	1	1	A
252.25							0.294800							2021-01-07_9776	1	1	A
252.37							0.282900							2021-01-07_9776	1	1	A
252.49							0.280700							2021-01-07_9776	1	1	A
252.60							0.285200							2021-01-07_9776	1	1	A
252.72							0.290600							2021-01-07_9776	1	1	A
252.84							0.293200							2021-01-07_9776	1	1	A
252.95							0.291500							2021-01-07_9776	1	1	A
253.07							0.288300							2021-01-07_9776	1	1	A
253.19							0.287200							2021-01-07_9776	1	1	A
253.31							0.289900							2021-01-07_9776	1	1	A
253.42							0.296700							2021-01-07_9776	1	1	A
253.54							0.306500							2021-01-07_9776	1	1	A
253.66							0.323000							2021-01-07_9776	1	1	A
253.77							0.357200							2021-01-07_9776	1	1	A
253.89							0.419700							2021-01-07_9776	1	1	A
254.01							0.504600							2021-01-07_9776	1	1	A
254.12							0.591900							2021-01-07_9776	1	1	A
254.24							0.657100							2021-01-07_9776	1	1	A
254.36							0.682400							2021-01-07_9776	1	1	A
